Raza,IoU_mean,IoU_std,N
american_bulldog,0.7834149383809177,0.14636548666669488,20
miniature_pinscher,0.8049513836409643,0.0944716053267671,20
shiba_inu,0.8175504489910242,0.16746715236351886,20
boxer,0.832407056850107,0.11560899826368362,20
chihuahua,0.8375129766731109,0.08234866451307259,20
english_setter,0.8422316803866601,0.08760392681082939,20
german_shorthaired,0.8434406344260464,0.07806578298821959,20
wheaten_terrier,0.844451829326724,0.06261420289421377,20
american_pit_bull_terrier,0.8450600260641137,0.07813897300089846,20
saint_bernard,0.8511846467583448,0.19952287392726029,20
japanese_chin,0.8514444634629873,0.0864145633400285,20
Bengal,0.8526951099220087,0.08532404896164733,20
english_cocker_spaniel,0.8577913838819338,0.07392654207683887,19
beagle,0.8609482547028563,0.08670456947303606,20
yorkshire_terrier,0.8636793160354644,0.05254421091519853,20
scottish_terrier,0.8681120255399332,0.0953723395850833,20
staffordshire_bull_terrier,0.8700776482412916,0.1012780847710909,20
basset_hound,0.872348745723416,0.05974153924988355,20
havanese,0.8736138014401357,0.054448010394201385,20
Abyssinian,0.8765548294736005,0.09311735636582169,20
Birman,0.8788155653924518,0.07315328301054373,20
Sphynx,0.8809160185867035,0.03809211034228765,20
newfoundland,0.8864681119152058,0.07628442343010719,19
samoyed,0.8877710507129265,0.06487549018150533,20
great_pyrenees,0.8887108501644135,0.04269076888588483,20
Egyptian_Mau,0.888933944013378,0.04433526806491746,19
Siamese,0.88916295731037,0.07693586429716356,20
pug,0.8914915367910272,0.06998394171263418,20
pomeranian,0.8917863512435609,0.04116049967388544,20
leonberger,0.8918219190790833,0.10332154518916502,20
Russian_Blue,0.893051952630973,0.07681695313132006,20
Persian,0.8952293498684958,0.07268764518495435,20
Maine_Coon,0.8977665056972575,0.07220838656266353,20
Bombay,0.9000687431576434,0.07252167818105099,19
keeshond,0.9085804516775342,0.04617863881901781,20
Ragdoll,0.9243321761169021,0.030259064160049694,20
British_Shorthair,0.9269739271325304,0.045132895775085335,20
